Origin,Destination
AG03: Titiwangsa,SP15: Bandar Tasik Selatan
AG03: Titiwangsa,KG33: Sungai Jernih
AG03: Titiwangsa,AG08: Plaza Rakyat
AG03: Titiwangsa,AG09: Hang Tuah
AG03: Titiwangsa,KG30: Batu 11 Cheras
AG03: Titiwangsa,KJ33: Wawasan
AG03: Titiwangsa,KJ25: Lembah Subang
AG03: Titiwangsa,BRT04: SunMed
AG03: Titiwangsa,KJ17: Abdullah Hukum
AG03: Titiwangsa,KJ04: Sri Rampai
AG03: Titiwangsa,KG26: Taman Connaught
AG03: Titiwangsa,KG34: Stadium Kajang
AG03: Titiwangsa,SP24: IOI Puchong Jaya
AG03: Titiwangsa,KG04: Kwasa Damansara
AG03: Titiwangsa,KG16: Pasar Seni
AG03: Titiwangsa,SP22: Kinrara
AG03: Titiwangsa,KJ16: Bank Rakyat Bangsar
AG03: Titiwangsa,KJ13: Masjid Jamek
AG03: Titiwangsa,SP19: Awan Besar
AG03: Titiwangsa,MR02: Tun Sambanthan
AG03: Titiwangsa,BRT05: SunU-Monash
AG03: Titiwangsa,KJ21: Asia Jaya
AG03: Titiwangsa,BRT02: Mentari
AG03: Titiwangsa,AG15: Pandan Indah
AG03: Titiwangsa,KJ01: Gombak
AG03: Titiwangsa,KG23: Taman Pertama
AG03: Titiwangsa,AG04: PWTC
AG03: Titiwangsa,AG01: Sentul Timur
AG03: Titiwangsa,KG27: Taman Suntex
AG03: Titiwangsa,KJ05: Setiawangsa
AG03: Titiwangsa,AG17: Cahaya
AG03: Titiwangsa,KJ18: Kerinchi
AG03: Titiwangsa,SP18: Sri Petaling
AG03: Titiwangsa,KG14: Semantan
AG03: Titiwangsa,KJ35: Alam Megah
AG03: Titiwangsa,KJ14: Pasar Seni
AG03: Titiwangsa,KG12: Phileo Damansara
AG03: Titiwangsa,SP26: Taman Perindustrian Puchong
AG03: Titiwangsa,KJ30: SS 18
AG03: Titiwangsa,SP12: Cheras
AG03: Titiwangsa,KJ20: Taman Jaya
AG03: Titiwangsa,KG21: Cochrane
AG03: Titiwangsa,KJ19: Universiti
AG03: Titiwangsa,KJ07: Dato' Keramat
AG03: Titiwangsa,AG12: Miharja
AG03: Titiwangsa,KJ34: USJ 21
AG03: Titiwangsa,MR09: Medan Tuanku
AG03: Titiwangsa,SP25: Pusat Bandar Puchong
AG03: Titiwangsa,SP20: Muhibbah
AG03: Titiwangsa,KG29: Bandar Tun Hussien Onn
